Price,Bedrooms,Bathrooms,type,address,deposit,available_date,rooms_available,Gas,Electricity,Water,Internet,Fridge,Freezer,Oven,Microwave,Dishwasher,Washing machine,Dryer,Furnished,Double glazing,Separate lounge,Bath,Shower,Alarm,Fire alarm,Garden,Off road parking,Garage,Wifi,Sky/Cable package,Energy performance certificate,Gas safe registered,Electrical safety certificate,NRLA registered
120,7,2,house,"stalbridge, Wavertree, Liverpool, L181EX",200,1st July 2024,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes
130,5,1,house,"Karslake Road, Sefton Park, Liverpool, L181EZ",200,1st July 2024,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes
115,6,2,house,"Ramilies Road, Sefton Park, Liverpool, L181ED",,1st July 2024,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes
140,8,3,house,"Woodcroft Road, Toxteth, Liverpool, L152HQ",350,22nd July 2024,8,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No
91.15,2,1,flat,"Cleghorn Street, Central, Dundee, DD22NJ",200,12th May 2024,2,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No
135,6,3,house,"Gloucester Road, Francis Close Hall, Cheltenham, GL518NS",300,12th July 2024,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes
100,1,1,house,"Bed 2, 32 Dorrit Street, Princes Park, Liverpool, L88AW",200,8th April 2024,1,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
110,4,1,house,"Adelaide Road, Kensington, Liverpool, L78SH",200,1st July 2024,4,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
125,6,6,house,"Edinburgh Road, Kensington, Liverpool, L78RF",200,,6,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
110,4,1,house,"Langton Road, Toxteth, Liverpool, L152HT",200,1st July 2024,4,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
135,1,1,house,"Kensington, Low Hill, Liverpool, L78RG",250,1st September 2024,1,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
105,4,1,house,"Saxony Road, Low Hill, Liverpool, L78RX",200,1st July 2024,4,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
95,4,2,house,"Holland Street, Fairfield, Liverpool, L70JQ",200,1st July 2024,4,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
120,4,1,house,"Saxony Road, Low Hill, Liverpool, L78RX",200,1st July 2024,4,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
115,1,2,house,"Bed 2, 14 March Road, Tuebrook, Liverpool, L64DA",260,,1,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
135,3,3,house,"Marle Hill Road, Francis Close Hall, Cheltenham, GL504LP",300,12th July 2024,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No
138,9,5,house,"Monson Avenue, City Centre, Cheltenham, GL504EN",300,12th July 2024,9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes
138,8,3,flat,"Richmond Halls, City Centre, Cardiff, CF42na",350,20th August 2024,8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No
161,8,5,house,"Iffley Road, Iffley, Oxford, OX41SD",300,4th July 2024,8,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
155,2,1,flat,"North Road East, University of plymouth, Plymouth, PL46AS",400,1st August 2024,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No
105,9,3,house,"North Road East, University of plymouth, Plymouth, PL46AL",250,1st August 2024,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
120,4,1,house,"Moseley road, Fallowfield, Manchester, M192LH",600,1st July 2024,4,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No
120,1,3,house,"chichester street, City Centre, Chester, CH14AD",,1st August 2024,10,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes
120,9,2,house,"Chichester Street, City Centre, Chester, CH14AD",,6th August 2024,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes
120,5,2,house,"Whipcord Lane, University of chester, Chester, CH14DG",,6th August 2024,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No
120,5,2,house,"Brookside Terrace, Newton, Chester, CH23PX",,6th August 2024,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes
109,8,3,house,"Grange Road, Newton, Chester, CH22AN",,1st August 2024,8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes
130,5,2,house,"Cheyney Road, Newton, Chester, CH14BS",,1st August 2024,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes
120,7,2,house,"Chichester Street, City Centre, Chester, CH14AD",,6th August 2024,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes
120,5,2,house,"Ermine Road, Hoole, Chester, CH23PL",250,6th August 2024,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes
120,8,2,house,"Chichester Street, Central, Chester, CH14AD",,1st August 2024,8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes
120,7,2,house,"Garden Lane, City Centre, Chester, CH14EN",,1st August 2024,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes
120,6,2,house,"Chichester Street, Newton, Chester, CH14AD",,6th August 2024,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes
120,8,2,house,"Cambrian View Whipcord Lane, Blacon, Chester, CH14DF",,1st September 2024,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes
150,2,1,flat,"Bodmin Grove, Aston, Birmingham, B74PG",650,1st September 2024,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No
140,5,1,house,"Mansfield Road, Arboretum, Nottingham, NG13HW",,13th August 2024,5,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
135,5,1,flat,"Mansfield Road, Arboretum, Nottingham, NG13FR",,13th August 2024,5,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
135,7,2,flat,"Mansfield Road, Arboretum, Nottingham, NG13HW",,13th August 2024,7,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
135,6,2,flat,"Mansfield Road, Arboretum, Nottingham, NG13HW",,13th August 2024,6,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
120,6,2,house,"Mansfield Road, Arboretum, Nottingham, NG13FQ",,13th August 2024,6,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
