,Price,Bedrooms,Bathrooms,type,deposit,rooms_available,Gas,Electricity,Water,Internet,Fridge,Freezer,Oven,Microwave,Dishwasher,Washing machine,Dryer,Furnished,Double glazing,Separate lounge,Bath,Shower,Alarm,Fire alarm,Garden,Off road parking,Garage,Wifi,Sky/Cable package,Energy performance certificate,Gas safe registered,Electrical safety certificate,NRLA registered,month,year,city,postcode,latitude,longitude
27,100.0,1.0,1.0,house,200.0,1.0,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,April,2024, Liverpool,L8 8AW,53.38969,-2.96798
28,110.0,4.0,1.0,house,200.0,4.0,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,July,2024, Liverpool,L7 8SH,53.40804018431373,-2.955797282352941
29,125.0,6.0,6.0,house,200.0,6.0,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,, Liverpool,L7 8RF,53.41036636470589,-2.956704355882353
30,110.0,4.0,1.0,house,200.0,4.0,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,July,2024, Liverpool,L15 2HT,53.39643,-2.93786
31,135.0,1.0,1.0,house,250.0,1.0,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,September,2024, Liverpool,L7 8RG,53.41094097,-2.957962275
32,105.0,4.0,1.0,house,200.0,4.0,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,July,2024, Liverpool,L7 8RX,53.40825,-2.95754
33,95.0,4.0,2.0,house,200.0,4.0,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,July,2024, Liverpool,L7 0JQ,53.41257,-2.93498
34,120.0,4.0,1.0,house,200.0,4.0,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,July,2024, Liverpool,L7 8RX,53.40825,-2.95754
35,115.0,1.0,2.0,house,260.0,1.0,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,, Liverpool,L6 4DA,53.42395,-2.94055
36,135.0,3.0,3.0,house,300.0,3.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,July,2024, Cheltenham,GL50 4LP,51.90801406666667,-2.0750788
37,138.0,9.0,5.0,house,300.0,9.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,July,2024, Cheltenham,GL50 4EN,51.9044855,-2.074674575
38,138.0,8.0,3.0,flat,350.0,8.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,August,2024, Cardiff,CF4 2NA,,
39,161.0,8.0,5.0,house,300.0,8.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,July,2024, Oxford,OX4 1SD,51.7431477,-1.239485
40,155.0,2.0,1.0,flat,400.0,2.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,August,2024, Plymouth,PL4 6AS,50.37813762727273,-4.136277286363637
41,105.0,9.0,3.0,house,250.0,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,August,2024, Plymouth,PL4 6AL,50.37768015,-4.1387553125
42,120.0,4.0,1.0,house,600.0,4.0,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,July,2024, Manchester,M19 2LH,53.4421812,-2.2031303
43,120.0,1.0,3.0,house,,10.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,August,2024, Chester,CH1 4AD,53.19615,-2.89647
44,120.0,9.0,2.0,house,,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,August,2024, Chester,CH1 4AD,53.19615,-2.89647
45,120.0,5.0,2.0,house,,5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,August,2024, Chester,CH1 4DG,53.1960345775,-2.9029596774999997
46,120.0,5.0,2.0,house,,5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,August,2024, Chester,CH2 3PX,53.20085742105263,-2.8842612
47,109.0,8.0,3.0,house,,8.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,August,2024, Chester,CH2 2AN,53.2011373,-2.8906488
48,130.0,5.0,2.0,house,,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,August,2024, Chester,CH1 4BS,53.19838,-2.90246
49,120.0,7.0,2.0,house,,7.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,August,2024, Chester,CH1 4AD,53.19615,-2.89647
50,120.0,5.0,2.0,house,250.0,5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,August,2024, Chester,CH2 3PL,53.19980332702703,-2.882022286486486
51,120.0,8.0,2.0,house,,8.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,August,2024, Chester,CH1 4AD,53.19615,-2.89647
52,120.0,7.0,2.0,house,,3.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,August,2024, Chester,CH1 4EN,53.19490283333333,-2.8961357
53,120.0,6.0,2.0,house,,6.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,August,2024, Chester,CH1 4AD,53.19615,-2.89647
54,120.0,8.0,2.0,house,,3.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,September,2024, Chester,CH1 4DF,53.19741,-2.9039
55,150.0,2.0,1.0,flat,650.0,2.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,September,2024, Birmingham,B7 4PG,52.4920419,-1.87444505
56,140.0,5.0,1.0,house,,5.0,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,August,2024, Nottingham,NG1 3HW,52.9622062,-1.150916875
57,135.0,5.0,1.0,flat,,5.0,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,August,2024, Nottingham,NG1 3FR,52.96215532,-1.15133908
58,135.0,7.0,2.0,flat,,7.0,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,August,2024, Nottingham,NG1 3HW,52.9622062,-1.150916875
59,135.0,6.0,2.0,flat,,6.0,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,August,2024, Nottingham,NG1 3HW,52.9622062,-1.150916875
60,120.0,6.0,2.0,house,,6.0,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,August,2024, Nottingham,NG1 3FQ,52.96123140714286,-1.1507727285714286
61,138.0,6.0,2.0,house,,6.0,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,August,2024, Nottingham,NG1 3HW,52.9622062,-1.150916875
62,135.0,4.0,1.0,flat,,4.0,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,August,2024, Nottingham,NG1 4EF,52.96078565714286,-1.150658242857143
63,120.0,8.0,2.0,house,18.75,8.0,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,August,2024, Nottingham,NG1 3FR,52.96215532,-1.15133908
64,132.0,5.0,1.0,house,,5.0,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,August,2024, Nottingham,NG1 3HW,52.9622062,-1.150916875
65,138.0,9.0,3.0,house,,9.0,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,August,2024, Nottingham,NG1 4FW,52.9592297,-1.1556347
66,138.0,7.0,2.0,flat,,7.0,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,August,2024, Nottingham,NG1 3HW,52.9622062,-1.150916875
